id,order_id,order_total,restaurant_name,order_time,rain_mode,on_time
1,1.27E+11,463,A2B Veg,2/5/2022 19:07,0,1
2,1.27E+11,252,Firangi Bake,2/5/2022 0:40,0,1
3,1.27E+11,190,The Table,2/2/2022 20:25,0,1
4,1.26E+11,258,Sree gupta bhavan,1/19/2022 17:31,0,0
5,1.25E+11,194,Idlies,1/15/2022 11:34,0,1
6,1.25E+11,320,Shyam's Bombay Halwa House,1/6/2022 19:31,0,0
7,1.22E+11,304,The Bowl Company,12/7/2021 18:58,0,1
8,1.20E+11,169,Super Munch,11/18/2021 17:59,2,1
9,1.19E+11,212,Mansukh's Sweets and Snacks,11/6/2021 20:09,5,1
10,1.19E+11,336,KFC,10/30/2021 18:42,0,1
11,1.19E+11,752,The Chopstix- Kk Nagar,10/29/2021 20:26,0,0
12,1.19E+11,661,Sabarees Veg Restaurant,10/28/2021 20:16,0,1
13,1.18E+11,212,Lassi House,10/24/2021 21:33,2,1
14,1.17E+11,407,Subway,10/13/2021 12:19,0,0
15,1.17E+11,1139,The Bowl Company,10/9/2021 13:06,0,1
16,1.17E+11,809,Faasos,10/8/2021 13:23,0,0
17,1.17E+11,1053,McDonald's,10/7/2021 19:28,0,1
18,1.17E+11,894,LunchBox,10/7/2021 12:57,0,1
19,1.14E+11,174,Drunken Monkey,9/8/2021 16:00,0,1
20,1.12E+11,224,Sangeetha's Desi Mane,8/8/2021 20:22,0,0
21,1.11E+11,108,Mansukh's Sweets and Snacks,8/6/2021 19:07,0,0
22,1.11E+11,194,Sangeetha's Desi Mane,8/1/2021 19:38,0,1
23,1.10E+11,204,The Sandwich Shop 2.0,7/21/2021 18:27,0,1
24,1.10E+11,293,Faasos,7/16/2021 19:35,0,0
25,1.07E+11,179,The Belgian Waffle Co.,6/19/2021 19:29,0,0
26,1.07E+11,133,The Thickshake Factory,6/17/2021 18:31,0,1
27,1.05E+11,655,Amelie's Cafe & Creamery,5/21/2021 18:44,0,0
28,1.05E+11,194,The Table,5/20/2021 19:15,0,0
29,1.04E+11,353,The Table,5/13/2021 19:29,0,1
30,1.04E+11,688,Kamakshi Mess,5/12/2021 18:24,0,0
31,1.02E+11,368,The Bowl Company,4/21/2021 19:43,0,0
32,1.02E+11,271,Bakya Veg Restaurant,4/15/2021 19:18,0,1
33,96303387993,193,The Belgian Waffle Co.,2/13/2021 20:26,0,1
34,93259245959,164,The Bowl Company,1/9/2021 14:50,0,1
35,90174208184,158,Roll Over,12/4/2020 21:53,0,1
36,88437200793,406,Domino's Pizza,11/14/2020 19:23,0,1
37,86796819721,190,Moonlight Takeaway & Delivery,10/26/2020 19:43,0,1
38,86796243798,209,Domino's Pizza,10/26/2020 19:34,0,0
39,85503629718,344,Domino's Pizza,10/11/2020 20:30,0,0
40,85413036372,401,The Bowl Company,10/10/2020 19:20,0,1
41,83594429748,133,The Bowl Company,9/19/2020 18:10,0,0
42,66209518020,153,The Bowl Company,3/2/2020 13:01,0,0
43,65256281802,137,LunchBox,2/20/2020 12:14,0,0
44,65030558417,102,Richy Rich Ice Creams,2/17/2020 21:32,0,0
45,64919239494,160,HOTEL ANANDHA BHAVAN (Imperial Road),2/16/2020 14:37,0,0
46,64337605340,374,HOTEL ANANDHA BHAVAN (Imperial Road),2/9/2020 21:03,0,0
47,63528835993,502,The Bowl Company,1/31/2020 12:23,0,1
48,61309491436,173,VEJ,1/5/2020 19:54,0,1
49,60620307292,166,Frozen Bottle,12/28/2019 20:28,0,1
50,58604508507,240,The Bowl Company,12/5/2019 12:31,0,0
51,57681625363,192,The Table,11/24/2019 20:10,0,1
52,56817719676,110,Good For One,11/14/2019 20:12,0,1
53,55425946120,185,The Bowl Company,10/29/2019 17:35,0,1
54,54997774768,244,The Bowl Company,10/24/2019 18:39,0,1
55,52839287946,152,KEVENTERS,9/29/2019 19:04,0,1
56,52557909787,138,The Bowl Company,9/26/2019 12:55,0,0
57,52471089408,140,The Good Bowl,9/25/2019 12:48,0,0
58,50775345135,161,Roll Over,9/5/2019 21:45,0,1
59,49749872968,555,Subway,8/25/2019 0:54,0,1
60,49315198865,262,Cream and Fudge,8/20/2019 0:09,0,1
61,49298321465,307,Sangeetha's Desi Mane,8/19/2019 19:28,0,1
62,48342768684,328,Frozen Bottle,8/8/2019 18:02,0,1
63,48093468935,157,Food Track,8/5/2019 20:47,0,1
64,46946088452,319,Mansukh's Sweets and Snacks,7/23/2019 14:04,0,1
65,46709238766,559,Shyam's Bombay Halwa House,7/20/2019 20:17,0,0
66,45580335390,109,The Belgian Waffle Co,7/7/2019 18:42,0,0
67,45329093270,277,Sree gupta bhavan,7/4/2019 20:54,0,1
68,45046337544,471,Sangeetha's Desi Mane,7/1/2019 14:22,0,1
69,44294169925,107,Oh so Stoned,6/22/2019 21:26,0,1
70,44281184062,97,Food Track,6/22/2019 17:49,0,1
71,43878488152,455,Cream and Fudge,6/18/2019 1:58,0,1
72,43875533945,651,Moonlight Takeaway & Delivery,6/18/2019 1:08,0,1
73,41434653260,192,Pizza Hut,5/20/2019 19:07,0,1
74,40720888087,191,Desi Rasoi's Punjabi Dhaba,5/12/2019 12:51,0,0
75,38930061426,277,Taco Bell,4/21/2019 19:24,0,1
76,37720646109,164,Taco Bell,4/7/2019 19:27,0,0
77,29854675649,278,Food Track,1/6/2019 18:27,0,1
78,27788088847,225,Food Track,12/13/2018 20:24,0,0
79,26146797097,409,Mansukh's Sweets and Snacks,11/24/2018 20:29,0,1
80,22941287885,121,A2B Veg,10/18/2018 18:04,0,1
81,22512634359,146,Mansukh's Sweets and Snacks,10/13/2018 19:00,0,1
82,22512535762,415,A2B Veg,10/13/2018 18:58,0,1
83,21823031245,154,A2B Veg,10/5/2018 19:27,0,1
84,20698577867,315,Food Track,9/22/2018 19:06,0,1
85,19986548494,188,The Thickshake Factory,9/14/2018 13:19,0,0
86,19578602443,272,McDonald's,9/9/2018 20:00,0,0
87,19405811984,152,Mansukh's Sweets and Snacks,9/7/2018 20:00,0,0
88,1181693164,147,Tibbs Frankie,5/16/2018 19:07,0,1
89,1177912478,203,Maggevala Curly Cravings,5/9/2018 20:02,0,1
90,1172808867,184,Ibaco,4/29/2018 21:06,0,1
91,1161151700,313,Domino's Pizza,4/6/2018 19:05,0,0
92,1129725726,192,The Thick Shake Factory,1/7/2018 17:12,0,1
93,1123341565,125,Food Centralis,12/10/2017 20:51,0,1
94,1123287736,209,Rice n Spice,12/10/2017 19:24,0,0
95,1096353194,140,The Sandwich Shop,7/2/2017 19:09,0,0
